IATI-code,Funder-code,abbreviation,name,notes
ES-7,ES,EDUC,"Ministry of Education, Culture and Sports ",
ES-8,ES,MPW,Ministry of Public Works,
ES-9,ES,MIE,Ministry of Industry and Energy,
EU-1,EU,CEC,Commission of the European Communities,
EU-2,EU,EDF,European Development Fund,
EU-3,EU,EIB,European Investment Bank,
XI-IATI-EC_ECHO,EU,ECHO,Humanitarian Aid Office of the European Commission,"updated code, MB 23rd Feb 2017"
XI-IATI-EC_DEVCO,EU,EC-DEVCO,European Commission - Development and Cooperation,added MB 23rd Feb 2017
XI-IATI-EC_NEAR,EU,EC-NEAR,European Commission - Neighbourhood and Enlargement Negotiations,added MB 23rd Feb 2017
XI-IATI-EC_FPI,EU,EC-FPI,European Commission - Service for Foreign Policy Instruments,added MB 23rd Feb 2017
XM-DAC-918-3,EU,EIB,European Investment Bank,added MB 23rd Feb 2017
FI-1,FI,FG,Finnish Government,
FI-2,FI,FF,FinnFund,
FI-3,FI,MFA,Ministry of Foreign Affairs,
FI-4,FI,FIDE,FIDE,
FI-72,FI,FINNVERA,FinnVera,
FR-10,FR,MINEFI,"Ministry of Economy, Finance and Industry ",
FR-17,FR,MEN,"Ministry of Education, Higher education and Research ",
FR-3,FR,AFD,French Development Agency,
FR-43,FR,COFACE,Coface,
FR-6,FR,MAE,Ministry of Foreign Affairs,
GB-GOV-1,GB,DFID,Department for International Development,"Updated 19th April 2016, GB-1 to GB-GOV-1"
GB-2,GB,CDC,CDC Capital Partners PLC,
GB-5,GB,ECGD,Export Credit Guarantee Department,
GR-1,GR,YPEJ,Ministry of Foreign Affairs,
GR-2,GR,YPEUO,Ministry of National Economy,
GR-20,GR,ALLOI,Miscellaneous,
GR-3,GR,YPESDDA,"Ministry of the Interior, Public Administration and Decentralisation ",
GR-4,GR,YPEUA,Ministry of National Defence,
GR-5,GR,YPEHODE,"Ministry of the Environment, Land Planning and Public Works ",
GR-6,GR,YPEPU,Ministry of National Education and Religions,
GR-7,GR,YPGE,Ministry of Agriculture,
GR-8,GR,YPYG-PR,Ministry of Health - Welfare,
GR-9,GR,YEN,Ministry of Merchant Marine,
XM-DAC-21-1,IE,DFA,Department of Foreign Affairs,"changed from IE-1, 26 Feb 2015"
IE-71,IE,DIC,Department of Industry and Commerce,
IT-2,IT,AGEA,Agenzia Erogazioni Per lAgricoltura,
IT-4,IT,DGCS,Direzione Generale per la Cooperazione allo Sviluppo,
IT-5,IT,MC,Not in CRS Directives,
IT-7,IT,CA,Central administration,
IT-74,IT,SACE,Sezione Speciale per lAssicurazione del Credito allEsportazione,
IT-8,IT,LA,Local administration,
IT-9,IT,ART,Artigiancassa,
JP-1,JP,MAFF,"Ministry of Agriculture, Forestry and Fisheries ",
JP-10,JP,JODC,Japan Overseas Development Co-operation,
JP-11,JP,JBIC,Japan Bank for International Co-operation,
JP-12,JP,Oth MIN,Other Ministries,
JP-13,JP,PC,Public Corporations,
JP-14,JP,PRF,Prefectures,
JP-15,JP,ODC,Ordinance-designed Cities,
JP-2,JP,MOFA,Ministry of Foreign Affairs,
JP-7,JP,OFCF,Overseas Fishery Co-operation Foundation,
JP-71,JP,NEXI,Nippon Export and Investment Insurance,
XM-DAC-701-8,JP,JICA,Japanese International Co-operation Agency,"changed from JP-8 to XM-DAC-701-8 on Jul 24, 2014"
LU-1,LU,LuxDev,Lux-Development,
LU-2,LU,MFA,Ministry of Foreign Affairs,
LU-22,LU,ODL,Ducroire Office,
XM-DAC-7,NL,MFA,Ministry of Foreign Affairs (DGIS),Updated MB (from NL-1) 7th April 2017
NL-33,NL,NCM,NCM Credit Management Worldwide,
NL-4,NL,NIO/FMO,Netherlands Gov. through Netherlands Investment Bank for Developing Countries,
NO-1,NO,NORAD,Norwegian Agency for Development Co-operation,
NO-4,NO,MFA,Ministry of Foreign Affairs,
NO-7,NO,SND,Statens Nærings og Distriksutviklingsfond,
NO-71,NO,GIEK,Garantiinstituttet for Eksportkreditt,
NO-72,NO,EF,Eksport Finans,
NO-8,NO,NORFUND,NORFUND,
NZ-1,NZ,NZG,Ministry of Foreign Affairs and Trade,
NZ-2,NZ,NZAid,New Zealand International Aid and Development Agency,
PT-1,PT,GP,Portuguese Government,
PT-2,PT,IPAD,Institute for Portuguese Development Aid,
PT-3,PT,Other,Other,
PT-71,PT,COSEC,Conselho de garantias financeiras,
SE-0,SE,Sweden,Sweden,
SE-2,SE,MFA,Ministry of Foreign Affairs,
SE-6,SE,Sida,Swedish International Development Authority,
